Computer date,Tree ID,Date,Maple Species,Maple Code,Latitude,Longitude,Concrete,Concrete Code,Habitat,Habitat Code,Shade ,Shade Code,Tree Circumference_in,Damage,Other Comments,Leaf Color,Leaf Color Code,Leaves Dropping,Leaf Drop Code,Fruit,Fruit Code
09/19/2014 - 12:43pm,,9/17/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,The tree had some died leafs.,    ,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/19/2014 - 12:45pm,,9/17/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,none,"this tree is young,and is growing strong",Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/19/2014 - 12:46pm,,9/17/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,Healthy (none),"this tree is young,and is growing strong",Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/19/2014 - 12:46pm,,9/17/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,none,it is really big,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/19/2014 - 12:46pm,,9/17/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,None,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/19/2014 - 12:47pm,,9/17/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,,No Comment!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/19/2014 - 12:50pm,,9/17/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,none,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/18/2014 - 11:32am,,9/17/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Shaded (less than 2hr per day of direct sun),3,,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/18/2014 - 11:34am,,9/17/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Shaded (less than 2hr per day of direct sun),3,,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/18/2014 - 8:31am,,9/17/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Shaded (less than 2hr per day of direct sun),3,,none,fairly young,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/18/2014 - 8:35am,,9/17/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Shaded (less than 2hr per day of direct sun),3,,broken limbs,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/18/2014 - 8:39am,,9/17/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Shaded (less than 2hr per day of direct sun),3,,One knot at the bottom.,Not a perfect circle.  ,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/19/2014 - 12:49pm,,9/17/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Shaded (less than 2hr per day of direct sun),3,,"few damage, lost branches",,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/19/2014 - 12:49pm,,9/17/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Shaded (less than 2hr per day of direct sun),3,,"few damage, lost branches",,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
10/23/2014 - 2:22pm,,9/18/14,Sugar Maple,4,,,Yes,2,Home lawn,2,Open (more than 5hr per day of direct sun),1,,Central leader has died.  Has been trimmed for power line.  ,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
10/23/2014 - 3:24pm,,9/18/14,Sugar Maple,4,,,Yes,2,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Open (more than 5hr per day of direct sun),1,,One small limb ice damaged.  ,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/19/2014 - 9:41am,,9/19/14,Sugar Maple,4,,,Yes,2,Home lawn,2,Open (more than 5hr per day of direct sun),1,,"No damage, missing limbs or disease noted.",,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/19/2014 - 1:35pm,,9/19/14,Red Maple,2,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Open (more than 5hr per day of direct sun),1,,yes broken/missing limbs,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/23/2014 - 1:14pm,,9/19/14,Red Maple,2,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Open (more than 5hr per day of direct sun),1,,brown dots,very good condition ot5her than the broken branches.,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/19/2014 - 1:38pm,,9/19/14,Red Maple,2,,,Yes,2,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Open (more than 5hr per day of direct sun),1,,burls,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/19/2014 - 2:51pm,,9/19/14,Red Maple,2,,,Yes,2,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Open (more than 5hr per day of direct sun),1,,Branches with no leaves,we love our ,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/19/2014 - 1:33pm,,9/19/14,Red Maple,2,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,none,it is a pretty cool tree.,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/23/2014 - 1:13pm,,9/19/14,Red Maple,2,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,There was no damige.,the tree dosn't have a lot of trees,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/23/2014 - 1:15pm,,9/19/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/19/2014 - 1:37pm,,9/19/14,Red Maple,2,,,Yes,2,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Shaded (less than 2hr per day of direct sun),3,,minor bark damage near the bottem,blocked by another tree 8 inches away. mulch volcanoes are covering the base of the tree which is inhibiting proper growth of the tree,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/19/2014 - 1:38pm,,9/19/14,Red Maple,2,,,Yes,2,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Shaded (less than 2hr per day of direct sun),3,,none,"tree is crowded by another tree that is about 8 paces away

lichen is on one half of the tree

mulch volcano is around the tree",Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/19/2014 - 1:38pm,,9/19/14,Red Maple,2,,,Yes,2,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Shaded (less than 2hr per day of direct sun),3,,none,Located directly outside of the outing club house and is climbed several times a week.,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/23/2014 - 1:11pm,,9/19/14,Red Maple,2,,,Yes,2,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Shaded (less than 2hr per day of direct sun),3,,none,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/19/2014 - 2:54pm,,9/19/14,Sugar Maple,4,,,No,1,School garden,4,Shaded (less than 2hr per day of direct sun),3,,none,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/23/2014 - 7:45am,,9/22/14,Sugar Maple,4,,,Yes,2,Home lawn,2,Open (more than 5hr per day of direct sun),1,,No Disease.  Lichen on trunk,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/22/2014 - 3:05pm,,9/22/14,Sugar Maple,4,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 11:48am,,9/23/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/23/2014 - 1:17pm,,9/23/14,Sugar Maple,4,,,Yes,2,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/25/2014 - 1:22pm,,9/23/14,Sugar Maple,4,,,Yes,2,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/23/2014 - 1:13pm,,9/23/14,Red Maple,2,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Shaded (less than 2hr per day of direct sun),3,,no damages or diseases,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/23/2014 - 1:12pm,,9/23/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Shaded (less than 2hr per day of direct sun),3,,,There were a few gaps where it could have filled out. ,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
10/23/2014 - 2:36pm,,9/24/14,Norway Maple,1,,,Yes,2,Home lawn,2,Open (more than 5hr per day of direct sun),1,,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 8:42am,,9/24/14,Silver Maple,3,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Open (more than 5hr per day of direct sun),1,,none,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 8:40am,,9/24/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Open (more than 5hr per day of direct sun),1,,dead brances,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 2:23pm,,9/24/14,Norway Maple,1,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 2:24pm,,9/24/14,Norway Maple,1,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,rot and dead limbs ,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 2:24pm,,9/24/14,Norway Maple,1,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,insect damage,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 2:25pm,,9/24/14,Norway Maple,1,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,green stuff ,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 2:27pm,,9/24/14,Norway Maple,1,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 2:27pm,,9/24/14,Norway Maple,1,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 2:30pm,,9/24/14,Norway Maple,1,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,"Fungi, Other tree growing on it.",,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 2:25pm,,9/24/14,Red Maple,2,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,Black spots on leaves,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 2:28pm,,9/24/14,Silver Maple,3,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 1:43pm,,9/24/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 1:45pm,,9/24/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,few limbs missing,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 1:46pm,,9/24/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 1:46pm,,9/24/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,mold,None,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 11:45am,,9/24/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 11:46am,,9/24/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 11:47am,,9/24/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 11:47am,,9/24/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,one broken branch  ,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 11:47am,,9/24/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 11:48am,,9/24/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 8:36am,,9/24/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,broken limbs,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 8:37am,,9/24/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,broken lims,"tall, leafy",Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 8:37am,,9/24/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,couple of dead branches,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 8:37am,,9/24/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,Dead Branches,Otherwise than the scars the tree is in a beautiful condition.,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 8:37am,,9/24/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,A FEW BROKEN LIMBS,"Very tall, and is a memorial tree.",Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 8:38am,,9/24/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,,"Very tall, and is a memorial tree.",Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 8:40am,,9/24/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,White material on trunk,lichens,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/26/2014 - 12:41pm,,9/24/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,Healthy,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/26/2014 - 12:42pm,,9/24/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,none,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/26/2014 - 12:44pm,,9/24/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,None,Tall and leafy,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/24/2014 - 11:46am,,9/24/14,Sugar Maple,4,,,Yes,2,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,,Memorial tree and tall,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/26/2014 - 12:44pm,,9/24/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Shaded (less than 2hr per day of direct sun),3,,Some moss ,"Our tree is a Memorial tree, very tall.",Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/30/2014 - 1:18pm,,9/26/14,Red Maple,2,,,Yes,2,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Open (more than 5hr per day of direct sun),1,,none,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/26/2014 - 1:27pm,,9/26/14,Red Maple,2,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/26/2014 - 1:28pm,,9/26/14,Red Maple,2,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,10% damage,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/30/2014 - 1:10pm,,9/26/14,Red Maple,2,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/30/2014 - 1:12pm,,9/26/14,Red Maple,2,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,none,It has been taped before. ,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/30/2014 - 1:14pm,,9/26/14,Red Maple,2,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,bumps,"ITS NAME IS GRAMCRACKER



",Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/30/2014 - 1:14pm,,9/26/14,Red Maple,2,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,bumps,was tapped,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/30/2014 - 1:14pm,,9/26/14,Red Maple,2,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,bumps,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/30/2014 - 1:12pm,,9/26/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,Broken limbs,we named our tree super sayin god goku,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/26/2014 - 1:25pm,,9/26/14,Red Maple,2,,,Yes,2,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,little,"The name is The Graffiti Tree.



The tree has been tapped.",Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/26/2014 - 1:25pm,,9/26/14,Red Maple,2,,,Yes,2,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,,",",Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/26/2014 - 1:26pm,,9/26/14,Red Maple,2,,,Yes,2,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,few broken branches,,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/26/2014 - 1:26pm,,9/26/14,Red Maple,2,,,Yes,2,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Partially Shaded (2-5hr per day of direct sun),2,,broken branches.,"tree name is wilson

",Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/30/2014 - 1:12pm,,9/26/14,Sugar Maple,4,,,No,1,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Shaded (less than 2hr per day of direct sun),3,,,was taped,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
09/26/2014 - 1:25pm,,9/26/14,Red Maple,2,,,Yes,2,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",3,Shaded (less than 2hr per day of direct sun),3,,healthy,near broken car,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,None:  Tree is not fruiting this year,0
