Computer date,Date,Tree ID Number ,Maple Species,Latitude,Longitude,Concrete,Habitat,Shading,Circumference_in,Tree health,Leaf buds,Leaves unfolded,Flowers
04/17/2015 - 2:27pm,4/17/15,,,44.605696,-75.167442,Yes,School lawn,Open (more than 5hr per day of direct sun),98,Yes,no,no,no
04/17/2015 - 2:28pm,4/17/15,,,44.605998,-75.167856,Yes,School lawn,Open (more than 5hr per day of direct sun),67,yes,yes,no,no
04/17/2015 - 2:28pm,4/17/15,,,44.60493,-75.168005,Yes,School lawn,Open (more than 5hr per day of direct sun),86,yes,yes,no,no
04/17/2015 - 2:28pm,4/17/15,,,44.605492,-76.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),136,Yes,yes,no,no
04/17/2015 - 2:28pm,4/17/15,,,44.605492,-76.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),136,Yes,yes,no,no
04/17/2015 - 2:28pm,4/17/15,,,44.605769,-75.16797,Yes,School lawn,Open (more than 5hr per day of direct sun),60,Yes,yes,no,no
04/17/2015 - 2:28pm,4/17/15,,,44.605362,-75.167645,Yes,School lawn,Open (more than 5hr per day of direct sun),101,yes but has missing limbs,yes,no,no
04/17/2015 - 2:29pm,4/17/15,,,44.606298,-75.167596,Yes,School lawn,Open (more than 5hr per day of direct sun),83,,yes,yes,no
04/17/2015 - 2:30pm,4/17/15,,,44.606267,-75.167331,Yes,School lawn,Open (more than 5hr per day of direct sun),64,yes,yes,no,no
04/17/2015 - 2:30pm,4/17/15,,,44.605511,-75.167999,Yes,School lawn,Open (more than 5hr per day of direct sun),65,yes,yes,no,no
04/17/2015 - 2:31pm,4/17/15,,,44.606298,-75.167596,Yes,School lawn,Open (more than 5hr per day of direct sun),22,,yes,no,no
04/17/2015 - 2:31pm,4/17/15,,,44.60594,-75.167302,Yes,School garden,Open (more than 5hr per day of direct sun),87,"yes.

Tree circumference estimated.",yes,no,no
04/21/2015 - 3:24pm,4/14/15,,,44.613312,-75.407217,Yes,Home garden,Open (more than 5hr per day of direct sun),55.5,Yes,no,no,no
04/21/2015 - 3:27pm,4/16/15,,,44.613312,-75.407217,Yes,Home lawn,Open (more than 5hr per day of direct sun),55.5,Yes,no,no,no
04/21/2015 - 3:32pm,4/18/15,,,44.613312,-75.407217,Yes,Home lawn,Open (more than 5hr per day of direct sun),55.5,,yes,no,no
04/23/2015 - 11:32am,4/23/15,,,49.61146,-75.169603,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),17,yes,no,no,no
04/23/2015 - 11:32am,4/23/15,,,44.611452,-75.169535,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),22,,no,no,no
04/23/2015 - 11:34am,4/23/15,,,44.575389,-75.1361,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),25,yes but it has a dead top and a broken limb,no,no,no
04/23/2015 - 11:34am,4/23/15,,,44.611452,-75.169535,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),32,,no,no,no
04/23/2015 - 11:34am,4/23/15,,,44.611477,-75.169512,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),30.5,,no,no,no
04/23/2015 - 11:34am,4/23/15,,,44.611465,-75.169554,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),36,yes,no,no,no
04/23/2015 - 11:35am,4/23/15,,,44.611412,-75.169456,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),4.5,1 broken branch,no,no,no
04/23/2015 - 11:35am,4/23/15,,,44.611412,-75.169456,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),4.5,1 broken branch,no,no,no
04/23/2015 - 11:35am,4/23/15,,,44.611412,-75.169456,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),4.5,1 broken branch,no,no,no
04/23/2015 - 11:35am,4/23/15,,,44.611412,-75.169456,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),4.5,1 broken branch,no,no,no
04/23/2015 - 11:35am,4/23/15,,,44.611412,-75.169456,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),4.5,1 broken branch,no,no,no
04/23/2015 - 11:35am,4/23/15,,,44.611412,-75.169456,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),4.5,1 broken branch,no,no,no
04/23/2015 - 11:35am,4/23/15,,,44.17,-75.61,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),25,yes,no,no,no
04/23/2015 - 11:35am,4/23/15,,,44.611452,-75.169535,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),6,Yes.,no,no,no
04/23/2015 - 11:35am,4/23/15,,,44.611452,-75.169535,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),30,yes,no,no,no
04/23/2015 - 11:36am,4/23/15,,,44.611465,-75.169554,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),20.5,Yes,no,no,no
04/23/2015 - 11:37am,4/23/15,,,44.610277,-75.169802,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),18,it has broken limbs,no,no,no
04/23/2015 - 12:47pm,4/23/15,,,44.611735,-75.169559,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),27,,yes,no,no
04/23/2015 - 12:48pm,4/23/15,,,44.611455,-75.169544,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),10,,no,no,no
04/23/2015 - 12:48pm,4/23/15,,,44.611443,-75.16954,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,,no,no,no
04/23/2015 - 12:49pm,4/23/15,,,44.61029,-75.170224,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,,no,no,no
04/23/2015 - 12:49pm,4/23/15,,,44.611451,-75.169546,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),32,yes,no,no,no
04/23/2015 - 12:49pm,4/23/15,,,44.611203,-75.169027,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),12,yes,no,no,no
04/23/2015 - 12:49pm,4/23/15,,,44.610527,-75.169689,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),36,yes,no,no,no
04/23/2015 - 12:49pm,4/23/15,,,44.610527,-75.169689,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),36,yes,no,no,no
04/23/2015 - 12:50pm,4/23/15,,,44.3612,-75.10104,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),24,,no,no,no
04/23/2015 - 12:50pm,4/23/15,,,44.61078,-75.1169508,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),1.5,mostly healthy ,no,no,no
04/23/2015 - 1:32pm,4/23/15,,,44.611436,-75.16954,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),3.5,yes,no,no,no
04/23/2015 - 1:33pm,4/23/15,,,44.611433,-75.169584,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),6.5,yes,no,no,no
04/23/2015 - 1:34pm,4/23/15,,,44.610247,-75.169787,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,,no,no,no
04/23/2015 - 1:34pm,4/23/15,,,44.611236,-75.169032,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),48.5,Yes.,no,no,no
04/23/2015 - 1:34pm,4/23/15,,,44.611236,-75.169032,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),26,Yes,no,no,no
04/23/2015 - 1:34pm,4/23/15,,,44.611236,-75.169032,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),4,yes,no,no,no
04/23/2015 - 1:35pm,4/23/15,,,44.611188,-75.169001,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),13,,no,no,no
04/23/2015 - 1:37pm,4/23/15,,,44.611459,-75.16959,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),40,,no,no,no
04/23/2015 - 2:08pm,4/23/15,,,44.605511,-75.167999,Yes,School lawn,Open (more than 5hr per day of direct sun),66,yes,yes,no,no
04/23/2015 - 2:08pm,4/23/15,,,44.605511,-75.167999,Yes,School lawn,Open (more than 5hr per day of direct sun),66,yes,yes,no,no
04/23/2015 - 2:10pm,4/23/15,,,44.60493,-75.168005,Yes,School lawn,Open (more than 5hr per day of direct sun),86,,yes,no,no
04/23/2015 - 2:12pm,4/23/15,,,44.605998,-75.167856,Yes,School lawn,Open (more than 5hr per day of direct sun),67,yes,no,no,no
04/23/2015 - 2:12pm,4/23/15,,,44.605696,-75.167442,Yes,School lawn,Open (more than 5hr per day of direct sun),98,Healthy,yes,no,no
04/23/2015 - 2:12pm,4/23/15,,,44.605769,-75.16797,Yes,School lawn,Open (more than 5hr per day of direct sun),60,yes,yes,no,no
04/23/2015 - 2:13pm,4/23/15,,,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),136,yes,yes,no,no
04/23/2015 - 2:18pm,4/23/15,,,44.60954,-75.167302,Yes,School lawn,Open (more than 5hr per day of direct sun),87,"yes, circumference is estimated",yes,no,no
04/23/2015 - 2:20pm,12/23/15,,,44.605362,-75.167634,Yes,School lawn,Open (more than 5hr per day of direct sun),86,,no,no,no
04/29/2015 - 8:28am,4/29/15,,,44.61138,-75.1695825,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),22,yes,no,no,no
04/29/2015 - 8:33am,4/29/15,,,44.611187,-75.169034,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),8,Yes,yes,no,no
04/29/2015 - 8:33am,4/29/15,,,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),48,,no,no,no
04/29/2015 - 8:34am,4/29/15,,,44.610793,-75.170487,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),40,Dead branches,no,no,no
04/29/2015 - 8:34am,4/29/15,,,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),47,"A few Broken Limb, Fungi",no,no,no
04/29/2015 - 8:34am,4/29/15,,,44.611399,-75.169526,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),24.5,several broken branches,no,no,no
04/29/2015 - 8:35am,4/29/15,,,44.610246,-75.169679,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),31,no,no,no,no
04/29/2015 - 8:36am,4/29/15,,,44.611449,-75.169515,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),9,broken limbs,no,no,no
04/29/2015 - 8:36am,4/29/15,,,44.116,-75.175,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),23.5,yes,no,no,no
04/29/2015 - 8:37am,4/29/15,,,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),46,broken limbs ,no,no,no
04/29/2015 - 8:38am,4/29/15,,,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),37.5,broken branches,no,no,no
04/29/2015 - 11:32am,4/28/15,,,44.611452,-75.169535,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,,yes,no,no
04/29/2015 - 11:33am,4/29/15,,,44.611452,-75.169535,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),30,,no,no,no
04/29/2015 - 11:33am,4/29/15,,,44.611465,-75.169554,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),33,yes,no,no,no
04/29/2015 - 11:34am,4/29/15,,,44.611465,-75.169554,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),22,Yes,no,no,no
04/29/2015 - 11:34am,4/29/15,,,44.61146,-75.169603,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),17,yasss,yes,no,no
04/29/2015 - 11:34am,4/29/15,,,44.611452,-75.169535,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),25,yes,no,no,no
04/29/2015 - 11:34am,4/29/15,,,44.611452,-75.169535,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),6,yes,yes,no,no
04/29/2015 - 11:34am,4/29/15,,,44.611477,-75.169512,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),30.5,yes,no,no,no
04/29/2015 - 11:34am,4/29/15,,,44.575389,-75.1361,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),25,Yes but there is a broken limb and a dead top.,no,no,no
04/29/2015 - 12:43pm,4/29/15,,,44.36412,-75.10104,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),24,,yes,yes,no
04/29/2015 - 12:44pm,4/29/15,,,44.611443,-75.16954,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,,no,no,no
04/29/2015 - 12:45pm,4/29/15,,,44.610527,-75.169689,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),28,yes,no,no,no
04/29/2015 - 12:46pm,4/29/15,,,44.611451,-75.169546,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),32,,no,no,no
04/29/2015 - 12:46pm,4/29/15,,,44.611203,-75.169027,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),14,yes,no,no,no
04/29/2015 - 12:48pm,4/29/15,,,44.61078,-75.1169508,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),1.5,Looks Pretty healthy,no,no,no
04/29/2015 - 12:50pm,4/29/15,,,43.611455,-75.169544,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),9,yes,yes,no,no
04/29/2015 - 12:51pm,4/29/15,,,44.61029,-75.170224,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,yes,yes,no,no
04/29/2015 - 12:51pm,4/29/15,,,44.611458,-75.169593,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),8,yes,yes,no,no
04/29/2015 - 1:31pm,4/29/15,,,44.610247,-75.169787,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,,no,no,no
04/29/2015 - 1:31pm,4/29/15,,,44.611433,-75.169584,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),6.5,yes,yes,no,no
04/29/2015 - 1:33pm,4/29/15,,,44.611236,-75.169032,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),48.5,Yes.,no,no,no
04/29/2015 - 1:33pm,4/29/15,,,44.611436,-75.16954,No,Other,Partially Shaded (2-5hr per day of direct sun),37.5,yes,no,no,no
04/29/2015 - 1:35pm,4/29/15,,,44.608917,-71.171201,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),26,yes but some branches are broken.,no,no,no
04/29/2015 - 1:35pm,4/29/15,,,44.611236,-75.169032,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),4,yes,no,no,no
04/29/2015 - 1:35pm,4/29/15,,,44.611459,-75.16959,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),40,,yes,no,no
04/29/2015 - 1:41pm,4/29/15,,,44.611188,-75.169001,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),15,yes,no,no,no
04/29/2015 - 2:13pm,4/29/15,,,44.605511,-75.167999,Yes,School lawn,Open (more than 5hr per day of direct sun),66,yes,yes,no,no
04/29/2015 - 2:14pm,4/29/15,,,44.60493,-75.168005,Yes,School lawn,Open (more than 5hr per day of direct sun),86,yes,yes,no,no
04/29/2015 - 2:14pm,4/29/15,,,44.605696,-75.167442,Yes,School lawn,Open (more than 5hr per day of direct sun),98,yes,yes,no,no
04/29/2015 - 2:15pm,4/29/15,,,44.606267,-75.167331,Yes,School lawn,Open (more than 5hr per day of direct sun),64,,yes,no,no
04/29/2015 - 2:15pm,4/29/15,,,44.605769,-75.16797,Yes,School lawn,Open (more than 5hr per day of direct sun),60,yes,yes,no,no
04/29/2015 - 2:15pm,4/29/15,,,44.605998,-75.167856,Yes,School lawn,Open (more than 5hr per day of direct sun),67,yes,yes,no,no
04/29/2015 - 2:16pm,4/29/15,,,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),136,Yes ,yes,no,no
04/29/2015 - 2:16pm,4/29/15,,,44.60594,-75.167302,Yes,School lawn,Open (more than 5hr per day of direct sun),91,Yes but there were a few ticks on it,yes,no,no
04/29/2015 - 2:17pm,4/29/15,,,44.605362,-75.167645,Yes,School lawn,Open (more than 5hr per day of direct sun),101,Few missing limbs,yes,no,no
05/01/2015 - 1:05pm,4/29/15,,,44.343999,-75.45765,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),12,yes,no,no,no
05/01/2015 - 1:05pm,4/29/15,,,44.343999,-75.45765,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),10,yes,no,no,no
05/01/2015 - 1:06pm,4/29/17,,,44.343999,-75.45765,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),16,no it has a dead top,no,no,no
05/01/2015 - 1:06pm,4/29/15,,,44.343999,-75.45765,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),64,"Yes, but it has broken limbs.",yes,no,no
05/01/2015 - 1:07pm,5/31/15,,,44.343999,-75.45765,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),13,It looks healthy.,yes,no,no
05/01/2015 - 1:09pm,4/29/15,,,44.343999,-75.45765,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),37,yes,no,no,no
05/02/2015 - 10:01pm,5/1/15,,,44.58713,-75.17066,Yes,Home lawn,Open (more than 5hr per day of direct sun),132,Center of trunk is somewhat decayed - has been removed by an arborist.  Sides of crown healthy.,yes,no,no
05/04/2015 - 11:33am,4/30/15,,,44.59702,-75.170248,Yes,Home lawn,Partially Shaded (2-5hr per day of direct sun),41,,yes,no,no
05/05/2015 - 1:07pm,5/5/15,,,44.343999,-75.45765,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),12,yes,no,no,no
05/05/2015 - 1:13pm,5/5/15,,,44.343999,-75.45765,No,School lawn,Partially Shaded (2-5hr per day of direct sun),16,yes,yes,no,no
05/08/2015 - 8:23am,5/8/15,,,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),22,yes ,yes,yes,no
05/08/2015 - 8:25am,5/8/15,,,44.611187,-75.169034,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),8,,yes,yes,no
05/08/2015 - 8:26am,5/8/15,,,44.610793,-75.170487,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),40,dead limbs,yes,yes,no
05/08/2015 - 8:27am,5/8/15,,,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),44.5,yes,yes,yes,no
05/08/2015 - 8:28am,5/8/15,,,44.344,-75.157,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),23.5,yes,yes,yes,no
05/08/2015 - 8:28am,5/8/15,,,44.610246,-75.169679,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),31,yes,yes,no,no
05/08/2015 - 8:29am,4/8/15,,,44.61138,-75.169582,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),37.5,yes,yes,yes,no
05/08/2015 - 8:29am,5/8/15,,,44.611399,-75.169526,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),24.5,"yes, some broken branches",yes,yes,no
05/08/2015 - 8:30am,5/8/15,,,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),46,broken limbs,yes,yes,no
05/08/2015 - 8:30am,5/8/15,,,44.611449,-75.169515,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),9,it has some dead limbs,yes,yes,no
05/08/2015 - 8:31am,5/8/15,,,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),45.6,yes,yes,yes,no
05/08/2015 - 11:32am,5/8/15,,,44.611477,-75.169512,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),30.5,yes,yes,yes,no
05/08/2015 - 11:33am,5/8/15,,,44.61146,-75.169603,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),17,yes,no,yes,no
05/08/2015 - 11:33am,5/8/15,,,44.611412,-75.169456,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),4.5,Yep - BUUUUUT 1 broken branch,yes,yes,no
05/08/2015 - 11:33am,5/8/15,,,44.611452,-75.169535,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),6,Yes.,yes,yes,no
05/08/2015 - 11:33am,5/8/15,,,44.611465,-75.169554,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),22,yes,yes,yes,no
05/08/2015 - 11:33am,5/8/15,,,44.611452,-75.169535,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),30,,yes,no,no
05/08/2015 - 11:33am,5/8/15,,,44.611465,-75.169554,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),33,yes,yes,yes,no
05/08/2015 - 11:33am,5/8/15,,,44.575389,-75.1361,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),25,Yes but there is a missing limb,yes,yes,no
05/08/2015 - 11:34am,5/7/15,,,44.611452,-75.169535,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),32,"yes

",yes,yes,no
05/08/2015 - 11:35am,5/8/15,,,44.610277,-75.169802,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),14,,no,yes,no
05/08/2015 - 12:44pm,5/8/15,,,44.611203,-75.169027,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),12,yes it does!!!!!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,yes,yes,no
05/08/2015 - 12:44pm,5/8/15,,,44.611443,-75.16954,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,,yes,yes,no
05/08/2015 - 12:44pm,5/8/15,,,44.611443,-75.16954,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,,yes,yes,no
05/08/2015 - 12:44pm,5/8/15,,,42.61029,-75.170224,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,,no,yes,no
05/08/2015 - 12:44pm,4/8/15,,,44,-75,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),24,,yes,yes,no
05/08/2015 - 12:44pm,5/8/15,,,42.61029,-75.170224,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,,no,yes,no
05/08/2015 - 12:44pm,5/8/15,,,44.611455,-75.169544,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),10,Yes,yes,yes,no
05/08/2015 - 12:45pm,5/8/15,,,44.611735,-75.169559,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),22,,yes,yes,no
05/08/2015 - 12:47pm,5/8/15,,,44.610527,-75.169689,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),28,Yes,yes,yes,no
05/08/2015 - 12:49pm,5/8/15,,,44.61078,-75.1169508,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),2.5,yes,yes,yes,no
05/08/2015 - 12:50pm,5/8/15,,,44.6114151,-75.169546,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),34,,yes,yes,no
05/08/2015 - 1:29pm,5/8/15,,,44.610247,-75.169787,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,yea,yes,yes,no
05/08/2015 - 1:29pm,5/8/15,,,44.611459,-75.16959,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),40,Yes,yes,yes,no
05/08/2015 - 1:29pm,5/8/15,,,44.611236,-75.169032,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),48.5,Yes.,yes,no,no
